SPAC IPO ,Date of IPO,CUSIP
Orion Acquisition Corp.,3/1/2021,68626A207
DHC Acquisition Corp.,3/1/2021,G2758T125
Leo Holdings III Corp.,2/26/2021,G5463T116
Ibere Pharmaceuticals,2/26/2021,G46843127
African Gold Acquisition Corp.,2/25/2021,G0112R116
Kensington Capital Acquisition Corp. II,2/25/2021,49006L203
Fusion Acquisition Corp. II,2/25/2021,36118N201
MCAP Acquisition Corp.,2/25/2021,55282T208
Twelve Seas Investment Co. II,2/25/2021,90118T205
Silverbox Engaged Merger Corp. I,2/25/2021,82836L200
Warrior Technologies Acquisition Co.,2/25/2021,936273200
ARYA Sciences Acquisition Corp. IV,2/25/2021,
Freedom Acquisition I Corp.,2/25/2021,G3663X102
Austerlitz Acquisition Corp. II,2/25/2021,G0633U119
Austerlitz Acquisition Corp. I,2/25/2021,G0633D117
Isleworth Healthcare Acquisition Corp.,2/24/2021,46468P201
"Gores Holdings VIII, Inc.",2/24/2021,382863207
Hudson Executive Investment Corp. III,2/24/2021,44376L206
Flame Acquisition Corp.,2/24/2021,33850F207
USHG Acquisition Corp.,2/24/2021,91748P209
EJF Acquisition Corp.,2/24/2021,G2955B117
Soaring Eagle Acquisition Corp.,2/23/2021,G8354H100
"Gores Holdings VII, Inc.",2/23/2021,38286T200
BOA Acquisition Corp.,2/23/2021,05601A208
Colicity Inc.,2/23/2021,194170205
Cartesian Growth Corp.,2/23/2021,G19276123
FTAC Athena Acquisition Corp.,2/22/2021,G37283127
CM Life Sciences II Inc.,2/22/2021,125842203
Slam Corp.,2/22/2021,G8210L113
Velocity Acquisition Corp.,2/22/2021,92259E203
Arctos Northstar Acquisition Corp.,2/22/2021,G0477L118
B. Riley Principal 150 Merger Corp.,2/18/2021,05601V202
CF Acquisition Corp. VI,2/18/2021,12521J202
Alpha Capital Acquisition Co.,2/18/2021,G0316P114
Tailwind International Acquisition Corp.,2/18/2021,G8662F127
"Simon Property Group Acquisition Holdings, Inc.",2/18/2021,82880R202
Figure Acquisition Corp. I,2/18/2021,302438205
